case_id	mean	median	sd
LFS_MB1	21.291666666666668	18	19.78618160373901
LFS_MB2	16.916666666666668	11.5	19.308392866515824
LFS_MB4	13.302083333333334	10	13.792537869340546
MB1	4.177083333333333	3	6.181457487249
MB101	40.15625	22	51.156998415095714
MB102	17.4375	7	28.336627775446576
MB104	23.125	12	32.92551402308263
MB106	3.6979166666666665	2	5.11369634910768
MB107	15.916666666666666	10	21.689030293854067
MB108	5.697916666666667	4	6.271270821715344
MB110	35.489583333333336	30.5	23.234726637725366
MB112	11.760416666666666	6.5	16.91510990157782
MB113	11.197916666666666	6.5	17.67223203468422
MB114	5.239583333333333	4	4.298701864435149
MB115	6.270833333333333	4	6.971338566122633
MB117	9.666666666666666	7	14.257531097018727
MB119	1.9375	1	2.121630455445454
MB12	1.8645833333333333	1	3.490196169020534
MB121	5.052083333333333	4	5.278296758109253
MB122	11.010416666666666	8	14.441529873518226
MB124	16.53125	9.5	20.11647825461557
MB125	31.197916666666668	22.5	29.168338924491998
MB126	34.5	23	43.044407913590575
MB127	18.270833333333332	10	28.093257916284415
MB128	96.23958333333333	78	85.07405378370649
MB129	12.59375	10	10.938659712953386
MB130	10.3125	8	10.996949337740995
MB131	12.083333333333334	7.5	15.125208422516412
MB132	2.75	1	4.232704746811926
MB134	6.875	6	4.577404458745957
MB139	4.635416666666667	3	5.134239638609272
MB15	9.322916666666666	6	9.910647959768125
MB16	3.7708333333333335	3	4.061317304227043
MB17	7	5	6.96154852706902
MB18	11.541666666666666	8	12.800424883299092
MB19	6.90625	5	6.7247823287018775
MB2	3.7395833333333335	3	3.3693503720783564
MB20	8.90625	7	10.411611053859152
MB21	3.2291666666666665	2	6.089644647253612
MB23	21.385416666666668	18	16.622983323140385
MB24	2.8333333333333335	2	2.9935603399250086
MB26	8.385416666666666	6	9.479473438259463
MB28	0.4583333333333333	0	0.7802383801278687
MB3	10.302083333333334	6	14.893389414287602
MB31	17.322916666666668	13	20.297002522626563
MB32	5.8125	5	5.847739104267474
MB34	34.125	27.5	30.839909208686073
MB35	3.0104166666666665	1	5.631667588251406
MB36	13.03125	7.5	15.867512739125681
MB37	0.8229166666666666	0	1.8806202317693885
MB38	7.15625	6	5.1592086806531015
MB39	2.1041666666666665	1	3.419692712162021
MB40	1.1458333333333333	1	1.5759987087001566
MB45	17.052083333333332	15.5	10.812633733074193
MB46	7.291666666666667	6	6.733915208486645
MB49	7.4375	6	6.581972988477895
MB5	6.010416666666667	5	4.637364931593362
MB50	12.28125	9	13.287669888006384
MB51	5.010416666666667	4	4.7760251953550945
MB518	11.427083333333334	7.5	14.493370383996925
MB53	16.104166666666668	8	26.66931182056366
MB56	27.53125	16.5	33.42515696928068
MB57	7.75	5.5	8.607218512755198
MB58	16.958333333333332	12.5	14.761198544025497
MB59	23.072916666666668	13	37.50234934161258
MB6	11.166666666666666	9	11.327346199786804
MB60	12.583333333333334	6	21.34215826242148
MB61	26.385416666666668	12.5	43.18537027906965
MB612	3.1041666666666665	2	3.4988093212786913
MB63	19.875	11	30.63614995737105
MB64	9.34375	7	8.492508308410482
MB66	19.270833333333332	11	26.883953017079943
MB67	9.760416666666666	5	14.849947575074333
MB69	21.375	14	25.608489546283383
MB7	7.510416666666667	6	6.277771632248714
MB70	16.791666666666668	14.5	13.311583137029013
MB74	22.572916666666668	14	26.998925823336673
MB75	21.302083333333332	12	29.592004535957685
MB77	16.989583333333332	8	26.131849811320365
MB78	30.791666666666668	17	42.12285706975844
MB79	17.104166666666668	10	22.460013200852234
MB8	7.739583333333333	6.5	6.484385766742278
MB800	10.885416666666666	8	11.46148680689209
MB81	42.083333333333336	26.5	42.58407576514876
MB82	16.322916666666668	9	25.74142464943339
MB83	8.1875	6	7.4499205223595295
MB84	10.854166666666666	10	8.086348686998308
MB85	1.875	1	2.6006072165432523
MB86	4.385416666666667	3	3.826142186993018
MB88	2.8020833333333335	1.5	3.8976910619025564
MB89	5.385416666666667	4	5.035390104924536
MB9	5.21875	3	9.648782988434071
MB90	2.9583333333333335	2	2.607344552228395
MB91	9.635416666666666	8	8.5546168411125
MB92	17.270833333333332	14	13.296203784829688
MB94	20.6875	17	17.641644809340974
MB95	2.375	1	3.325341296294578
MB96	3.4375	3	3.484741174410458
MB98	9.135416666666666	7.5	6.444287215767022
MB99	6.864583333333333	5	5.346163979737772
